frame_count,id,x,y,color
44,10,561,293,blue
44,6,953,336,red
44,2,1180,563,blue
44,12,478,293,red
44,5,926,286,blue
44,16,294,213,red
44,54,879,262,blue
44,15,931,207,blue
45,2,1196,566,blue
45,13,1136,352,blue
45,11,727,395,blue
45,6,975,336,red
45,5,936,299,blue
45,10,568,296,blue
45,8,390,376,red
45,12,499,292,red
45,15,947,207,blue
45,54,900,262,blue
46,2,1212,568,blue
46,8,404,374,red
46,13,1150,355,blue
46,11,728,393,blue
46,6,1003,337,red
46,5,944,298,blue
46,12,520,290,red
46,54,922,259,blue
46,15,964,205,blue
47,8,413,371,red
47,2,1224,573,blue
47,13,1164,355,blue
47,6,1032,336,red
47,11,730,393,blue
47,10,578,297,blue
47,1,681,235,blue
47,5,959,300,blue
48,11,728,387,blue
48,2,1246,577,blue
48,8,423,370,red
48,13,1180,357,blue
48,6,1060,336,red
48,5,969,303,blue
48,10,571,300,blue
49,13,1198,359,blue
49,11,733,394,blue
49,6,1093,338,red
49,2,1262,584,blue
49,8,436,372,red
49,5,978,302,blue
49,104,595,301,blue
50,13,1217,361,blue
50,11,735,393,blue
50,104,600,309,blue
50,6,1124,341,red
50,8,450,369,red
50,5,994,303,blue
51,6,1153,341,red
51,104,611,308,blue
51,13,1237,363,blue
51,11,745,399,blue
51,8,468,369,red
51,5,1011,303,blue
52,6,1186,342,red
52,104,615,309,blue
52,8,484,371,red
52,11,753,397,blue
52,13,1256,364,blue
52,5,1029,305,blue
53,8,503,371,red
53,104,628,313,blue
53,11,763,397,blue
53,6,1222,344,red
53,5,1048,298,blue
54,8,521,373,red
54,104,632,313,blue
54,5,1061,312,blue
54,11,777,402,blue
54,6,1260,346,red
55,104,645,314,blue
55,8,544,374,red
55,150,15,565,red
55,5,1074,312,blue
55,11,788,403,blue
56,150,20,569,red
56,157,168,319,red
56,11,799,404,blue
56,8,563,375,red
56,104,652,311,blue
56,5,1092,302,blue
57,150,32,575,red
57,157,185,318,red
57,104,649,315,blue
57,11,818,397,blue
57,8,582,375,red
57,5,1109,319,blue
58,150,37,577,red
58,157,205,318,red
58,104,660,315,blue
58,8,601,378,red
58,5,1123,320,blue
58,11,831,402,blue
59,150,45,577,red
59,157,222,317,red
59,104,663,318,blue
59,8,618,380,red
59,5,1142,320,blue
59,11,845,406,blue
60,150,57,581,red
60,8,635,383,red
60,157,239,318,red
60,11,863,409,blue
60,104,665,318,blue
60,5,1155,321,blue
61,150,60,585,red
61,5,1173,324,blue
61,11,875,409,blue
61,157,255,315,red
